product_id,stock_on_hand
MXC0006-WHT-S,1
MXC0006-WHT-XL,2
MXC0006-WHT-XXL,1
MXF2105-RBE-L,5
MXF2105-RBE-M,4
MXF2105-RBE-S,1
MXF2105-RBE-XL,2
MXF2105-RBE-XXL,1
MXF2105-TUN-M,5
MYC0004-SRP-L,5
MYC0004-SRP-M,4
MYC0004-SRP-S,1
MYC0004-SRP-XL,2
MYC0004-SRP-XXL,1
MBS2206-CCL-L,4
MBS2206-CCL-M,4
MBS2206-CCL-S,1
MBS2206-CCL-XL,2
MBS2206-CCL-XXL,1
MBS2206-ICE-L,4
MBS2206-ICE-M,4
MBS2206-ICE-S,1
MBS2206-ICE-XL,2
MBS2206-ICE-XXL,1
MBS2206-NVY-L,4
MBS2206-NVY-M,4
MBS2206-NVY-S,1
MBS2206-NVY-XL,2
MBS2206-NVY-XXL,1
MBS2217-IRN-29,1
MBS2217-IRN-30,1
MBS2217-IRN-31,2
MBS2217-IRN-32,2
MBS2217-IRN-33,3
MBS2217-IRN-34,3
MBS2217-IRN-35,2
MBS2217-IRN-36,2
MBS2217-IRN-38,1
MBS2217-NVY-29,1
MBS2217-NVY-30,1
MBS2217-NVY-31,2
MBS2217-NVY-32,2
MBS2217-NVY-33,3
MBS2217-NVY-34,3
MBS2217-NVY-35,2
MBS2217-NVY-36,2
MBS2217-NVY-38,1
MBS2217-STN-29,1
MBS2217-STN-30,1
MBS2217-STN-31,2
MBS2217-STN-32,2
MBS2217-STN-33,3
MBS2217-STN-34,3
MBS2217-STN-35,2
MBS2217-STN-36,2
MBS2217-STN-38,1
MKS2212-BSR-L,5
MKS2212-BSR-M,4
MKS2212-BSR-S,2
MKS2212-BSR-XL,3
MKS2212-BSR-XS,1
MKS2212-BSR-XXL,1
MKS2216-CWB-L,4
MKS2216-CWB-M,4
MKS2216-CWB-S,1
MKS2216-CWB-XL,2
MKS2216-CWB-XXL,1
MKS2233-ASR-L,4
MKS2233-ASR-M,4
MKS2233-ASR-S,1
MKS2233-ASR-XL,2
MKS2233-ASR-XXL,1
MOS2212-HSP-L,4
MOS2212-HSP-M,3
MOS2213-MIL-L,4
MOS2216-OLV-L,4
MOS2216-OLV-M,4
MOS2216-OLV-S,1
MOS2216-OLV-XL,2
MOS2216-OLV-XXL,1
MSS2204-MSY-L,2
MSS2204-MSY-M,2
MSS2204-MSY-S,1
MSS2204-MSY-XL,1
MWS2206-SKP-L,6
MWS2206-SKP-M,5
MWS2206-SKP-S,2
MWS2206-SKP-XL,3
MWS2206-SKP-XS,1
MWS2206-SKP-XXL,1
MWS2206-SMP-M,5
MWS2206-SMP-S,2
MWS2206-SMP-XS,1
MXF2105-TUN-L,4
MXF2105-TUN-XL,2
MYF2105-GMR-L,4
MYF2105-GMR-M,3
MYF2105-GMR-S,1
MYF2105-GMR-XL,2
MYF2105-GMR-XXL,1
MWS2206-SMP-L,6
MWS2206-SMP-XL,3
MWS2206-SMP-XXL,1
MWS2215-MSE-L,4
MWS2215-MSE-M,4
MWS2215-MSE-S,1
MWS2215-MSE-XL,2
MWS2215-MSE-XS,1
MWS2215-MSE-XXL,1
MWS2219-VIN-L,4
MWS2219-VIN-M,4
MWS2219-VIN-XL,3
MWS2219-VIN-XXL,1
MXS2205-RIS-XXL,1
MYS2203-TEL-L,2
MYS2203-TEL-M,2
MYS2203-TEL-S,1
MYS2203-TEL-XL,1
MYS2205-SDV-L,3
MYS2205-SDV-M,3
MYS2205-SDV-S,1
MYS2205-SDV-XL,1
MYS2205-SDV-XXL,1
HAC0001-ARA-OS,3
HAC0001-GCS-OS,3
HAC0001-IBF-OS,3
HAC0001-NOM-OS,3
HAC0001-PMO-OS,3
HAC0001-PRS-OS,3
HAC0001-SHR-OS,3
WBC0001-NVY-L,2
WBC0001-NVY-M,3
WBC0001-NVY-S,4
WBC0001-NVY-XS,2
WBC0001-SPG-L,2
WBC0001-SPG-M,3
WBC0001-SPG-S,4
WBC0001-SPG-XS,2
WBC0001-STN-L,2
WBC0001-STN-M,3
WBC0001-STN-S,4
WBC0001-STN-XS,2
WBC0001-WBK-L,2
WBC0001-WBK-M,3
WBC0001-WBK-S,4
WBC0001-WBK-XS,2
WBC0015-RRS-L,2
WBC0015-RRS-M,4
WBC0015-RRS-S,5
WBC0015-RRS-XL,1
WBC0015-RRS-XS,2
WBC0035-WWT-L,2
WBC0035-WWT-M,3
WBC0035-WWT-S,4
WBC0035-WWT-XS,2
WDC0002-BMT-L,2
WDC0002-BMT-M,4
WDC0002-BMT-S,5
WDC0002-BMT-XL,1
