product_id,stock_on_hand
WBC0029-HBT-S,4
WBC0029-HBT-XL,1
WBC0029-HBT-XS,3
WBC0029-LHG-L,2
WBC0029-LHG-M,3
WBC0029-LHG-S,4
WBC0029-LHG-XL,1
WBC0029-LHG-XS,3
WBS2103-CCR-S,2
WBS2118-PTS-L,1
WBS2118-PTS-M,2
WBS2118-PTS-S,3
WBS2118-PTS-XL,1
WBS2118-PTS-XS,2
WBU2031-WHT-S,3
WDS2113-NAF-L,2
WDS2113-NAF-M,3
WDS2113-NAF-S,4
WDS2113-NAF-XS,3
WDS2117-MRT-XXL,2
WDS2119-NAM-S,2
WDS2120-IND-L,1
WDS2120-IND-S,1
WDS2120-IND-XL,1
WDS2123-PSU-M,1
WDS2123-PSU-S,1
WDT1901-DEN-OS,1
WDU2017-PLF-L,1
WDU2017-PLF-M,1
WDU2017-PLF-S,1
WDU2017-PLF-XS,2
WDU2102-DEL-M,1
WDU2102-WHT-L,1
WDU2102-WHT-M,1
WDU2102-WHT-S,2
WDU2102-WHT-XS,2
WDU2104-ICB-S,1
WDU2105-EGR-M,1
WDU2107-LUC-XS,3
WDU2110-GST-XS/S,1
WDU2115-PVI-M,1
WDU2115-PVI-XL,2
WDU2115-PVI-XS,1
WDU2116-BBM-S,2
WDU2116-BBM-XS,1
WDU2118-WHA-L,2
WDU2118-WHA-M,3
WDU2118-WHA-S,3
WDU2118-WHA-XL,1
WDU2118-WHA-XS,1
WDU2121-PPL-L,2
WDU2121-PPL-M,4
WDU2121-PPL-S,8
WDU2121-PPL-XL,2
WDU2121-PPL-XS,5
WDU2121-PPL-XXL,1
WDU2126-OCA-M,4
WDU2126-OCA-S,8
WDU2126-OCA-XL,2
WDU2126-OCA-XS,5
WDU2126-OCA-XXL,2
WKC0008-LHG-L,2
WKC0008-LHG-M,3
WKC0008-LHG-S,4
WKC0008-LHG-XL,1
WKC0008-LHG-XS,3
WKC0008-LHG-XXL,1
WKS2107-PSR-M,4
WKS2107-PSR-S,1
WKS2107-PSR-XS,2
WKS2108-PTD-XS,1
WKU2116-GLH-XS,2
WKU2119-SAW-M,4
WKU2119-SAW-S,5
WKU2119-SAW-XS,3
WKU2120-BTD-L,3
WKU2120-BTD-M,4
WKU2120-BTD-S,5
WKU2120-BTD-XL,2
